,block_mined,gas,gas_price,hashpower_accepting,round_gp_10gwei,time_mined,tx_cost
b'&\xcf\xe8(\\\xe3@TP\xe2g\x9a\x89|\xa2\x19\xb0\xdb\xf33\xc1>#\x99-s\x94\\\xdd\x978u',8934629.0,35000.0,11500000000.0,100.0,110.0,1573766190.0,3850000.0
"b'&\xd3\xc6\xf4W\x08\xce\xdf\x85\xaa\x1b\xc1\xebnz,\x9eMB\x81\x86%\n\x18\xe5\xc4y\xa5\xb8eH8'",8934634.0,57118.0,1000000000.0,36.0,10.0,1573766286.0,
"b""'\x0e\x81\xd5\xdei\xf3L\xaeC DR3\x16\xedZ\x9d<\xc6\xaf\xfc\x93G\n\xe2r\xe6P\x85<\xfc""",8934630.0,57123.0,1000000000.0,36.0,10.0,1573766197.0,571230.0
"b""'b\x8a\x14\x7fl\x9aB\xd5+\xeaTW\x8fu\x80\x97\x1d\x1el\xdc^\xb3\xd5\xfepZ\xee&$\xe4\xc9""",8934633.0,100000.0,2199999988.0,36.0,20.0,1573766280.0,2000000.0
b')\xf9K\xbe\xc7\xa1\x96[f\xbd8\x91\x1bd\xb9F9\x97\x8c\x11\xc4w\xa0\x0b \xca~\xc0\xefEaW',8934630.0,22000.0,1449000000.0,36.0,10.0,1573766197.0,220000.0
"b'*\x16Hi\xcb\xae\xbdL\xf0\x8f\x85\xd6\x9dBM\xbbE\xf0O\x01\xfc,c%\xec.\x0bk\xdaT\xe0\xe1'",8934629.0,21000.0,40000000000.0,100.0,400.0,1573766190.0,8400000.0
b'+e\xbf\xfc|\x91_\xd1/\x8b<\x1f\x89\x9cS\xd2\n\x8a\x04\xb9\xa5]\x9f\xbb\xde\xe3Wl\x85\xcaK~',8934631.0,60000.0,20000000000.0,100.0,200.0,1573766237.0,12000000.0
b'+\xa6\x03\xa9\xf5_[\xf3R\xd6\xf15\\@\x97\xe9\x1c\xcb7j\xe1#\xe0~E5=`\x86\xde\xcc\xb0',8934633.0,21000.0,2000000000.0,36.0,20.0,1573766280.0,420000.0
"b',\x03\xf0(\xbf\xdcC$2\xe9\x06\x87D4\xa8s\xa3\xd6\x0b\xdb\x0e\xf1\x19\xb2\xbfq\xc7!\xfc\x83]\x8e'",8934630.0,400000.0,11000000000.0,100.0,110.0,1573766197.0,44000000.0
"b',\xd7\nv\xe9\x89Jq\xfb8\x85F\x10v\xeat\xbe\x10;\xeaF\xd4\xddc\xe0\xf2\xf6\xcc\xd0\xd5^3'",8934630.0,150000.0,2000000000.0,36.0,20.0,1573766197.0,3000000.0
b'-LN6\x8c<Qj\xa8\xa5\xce\xcabW\xb9#y\x97\xca\xd5\x1bn\xe8\xe7\xc2\xf6\xeb|R\xeb\xb4\xc6',8934629.0,200000.0,10000000000.0,100.0,100.0,1573766190.0,20000000.0
